CODIGO,DESCRIPCION,UND,PU+ITBIS,PU SIN ITBIS,RENDIMIENTOS-OBS.,SUPLIDOR RECOMENDADO
,CEMENTOS,,,,,
,Cal Grande hidratada 20 kilos,FDA,RD$430.00,RD$364.41,,MINIBANNER CON LINK
,Cemento Blanco Titan 40 kilos,FDA,"RD$1,075.00",RD$911.02,,MINIBANNER CON LINK
,Cemento Gris 94 lbs. Tipo Portland,FDA,RD$545.00,RD$461.86,,MINIBANNER CON LINK
,Mortero para bloques Pega Bloques Antillana 94 lbs. ,FDA,RD$415.00,RD$351.69,,MINIBANNER CON LINK
,Mortero para empañetes Mezcla Antillana 94 lbs. ,FDA,RD$392.00,RD$332.20,,MINIBANNER CON LINK
,Mortero para cerámicas PegaTod 50 Lbs.,FDA,RD$258.00,RD$218.64,7-8 M2 por funda,MINIBANNER CON LINK
,Mortero para cerámicas PegaTod Blanco 50 Lbs.,FDA,RD$620.00,RD$525.42,,MINIBANNER CON LINK
,Yeso Escayola E-30 55 Lbs.,FDA,RD$370.00,RD$313.56,,MINIBANNER CON LINK
,,,,,,
,AGREGADOS,,,,,
,Arena gruesa Itabo lavada,M3,"RD$1,710.00","RD$1,449.15",,Praintex - Agregados y Botes
,Arena Itabo de mina,M3,"RD$1,710.00","RD$1,449.15",,Praintex - Agregados y Botes
,Arena Fina Pañete azul,M3,"RD$2,100.00","RD$1,779.66",,Praintex - Agregados y Botes
,Arena triturada lavada azul,M3,"RD$2,810.00","RD$2,381.36",,Praintex - Agregados y Botes
,"Grava de 3/4""",M3,"RD$1,650.00","RD$1,398.31",,Praintex - Agregados y Botes
,"Grava de 1/2""",M3,"RD$1,650.00","RD$1,398.31",,Praintex - Agregados y Botes
,"Grava de 3/8""",M3,"RD$1,600.00","RD$1,355.93",,Praintex - Agregados y Botes
,Caliche,M3,RD$450.00,RD$381.36,,Praintex - Agregados y Botes
,Granzote grueso,M3,RD$650.00,RD$550.85,,Praintex - Agregados y Botes
,Granzote fino o gravillita,M3,RD$750.00,RD$635.59,,Praintex - Agregados y Botes
,Cascajo de mina (en mina),M3,RD$800.00,RD$677.97,,Praintex - Agregados y Botes
,Material de base triturado (en mina),M3,RD$950.00,RD$805.08,,Praintex - Agregados y Botes
,Piedra para muro de gaviones (en mina),M3,RD$950.00,RD$805.08,,Praintex - Agregados y Botes
,Tierra Negra,M3,"RD$1,300.00","RD$1,101.69",,Praintex - Agregados y Botes
,Agua para hormigones y morteros,GL,RD$1.50,RD$1.50,,MINIBANNER CON LINK
,"Camión de agua 1,200GLS",UND,"RD$3,500.00","RD$3,500.00",,MINIBANNER CON LINK
,,,,,,
,"TRANPORTE, CARGA Y BOTE MATERIAL",,,,,
,Bote y carga a mano en camión 6M3,UND,"RD$3,500.00","RD$3,500.00",,Praintex - Agregados y Botes
,Bote en camión 6M3 (solo bote sin carga manual),UND,"RD$3,000.00","RD$3,000.00",,Praintex - Agregados y Botes
,Transporte camiones volteo (arranque 0-5Kms) - Solo transporte,M3E,RD$130.00,RD$130.00,,Praintex - Agregados y Botes
,Transp. camiones volteo por Kms (Min 5kms)-Solo transporte,M3xKM,RD$18.00,RD$18.00,,Praintex - Agregados y Botes
,Carga de material con equipo (solo carga),M3E,RD$100.00,RD$100.00,,Praintex - Agregados y Botes
,,,,,,
,ACEROS,,,,,
,"Acero varilla Grado 40-60 3/8"" a 1"" x 20 a 30 pies",QQ,"RD$3,140.00","RD$2,661.02",,MINIBANNER CON LINK
